Section,IPC / IT Act,Description of the Case,Punishment,Appropriate Steps
66,"IT Act, 2000","Unauthorized access, hacking, or causing damage to a computer system",Up to 3 years imprisonment or fine up to ₹5 lakh or both,"Report to Cyber Crime Cell, change passwords, secure system"
66C & 66D,"IT Act, 2000","Fraudulent use of another person’s identity, including fake social media profiles",Up to 3 years imprisonment and fine up to ₹1 lakh,"Report to social media platforms, file FIR, secure online identity"
354D,IPC & IT Act,"Repeated attempts to contact, threaten, or intimidate a person online","Up to 3 years imprisonment for first offense, 5 years for subsequent offenses",File complaint with police and cybercrime portal
"67, 67A & 67B","IT Act, 2000","Publishing or transmitting sexually explicit content, including child pornography, nudes got viral",Up to 7 years imprisonment and ₹10 lakh fine,Report to Cyber Crime Cell and NCMEC (for child abuse)
499 & 500,IPC & IT Act,Spreading false information or defamatory content online,"Up to 2 years imprisonment, fine, or both",File a defamation complaint in court
66D,"IT Act, 2000","Creating fake websites, emails, or calls to steal sensitive information",Up to 3 years imprisonment and ₹1 lakh fine,"Do not share sensitive details, report phishing sites"
66F,"IT Act, 2000","Using technology to threaten national security, spread terror, or hack government networks",Life imprisonment,Report to law enforcement immediately
43 & 66,IT Act & IPC,"Unauthorized access to bank accounts, ATM fraud, or digital payment fraud",Up to 7 years imprisonment and fine,"Notify bank, block cards, file a complaint at Cyber Cell"
"43, 66","IT Act, 2000","Creating and spreading viruses, malware, or ransomware that cause system damage",Up to 3 years imprisonment or fine up to ₹5 lakh,"Use antivirus, avoid untrusted downloads, report incidents"
"72, 72A","IT Act, 2000","Unauthorized access, leakage, or misuse of personal or confidential data",Up to 3 years imprisonment or fine up to ₹5 lakh,"File complaint with CERT-In, report breach"
Public Gambling Act,"IT Act, 2000",Running or participating in illegal online betting and gambling,"Fine of ₹5,000 or imprisonment up to 6 months","Avoid online gambling, report illegal platforms"
"66E, 354C",IT Act & IPC,"Publishing or sharing morphed images, deepfake videos without consent",Up to 3 years imprisonment and fine up to ₹2 lakh,"Report on cybercrime.gov.in, take legal action"
66D,IT Act & RBI Guidelines,"Fake cryptocurrency investment schemes, hacking crypto wallets",Up to 3 years imprisonment and ₹1 lakh fine,"Verify investment sources, report fraud to RBI"
